tweet,user,location,date
"RT @gjsibio: Northbound Red Line L Train at the Old Wilson Avenue Station, Chicago, Illinois (2015-03-10 13-36-00a) @ClickASnap_ https://t.…",MOFFITW,"uptown, chi-city ✶✶✶✶",2019-10-22 23:59:06
"RT @cta: [Minor Delays / Reroute] 70 Division buses are temporarily rerouted via Division, Central, Chicago, Austin, and Division: due to p…",transit_tweets,,2019-10-22 23:50:28
"RT @cta: [Minor Delays / Reroute] 70 Division buses are temporarily rerouted via Division, Central, Chicago, Austin, and Division: due to p…",huskeeman82,"Chicago, IL",2019-10-22 23:46:38
"Hey, @cta. Please turn on the heaters. Winter is basically here. Thx. #cta",rkhavard,"Chicago, IL",2019-10-22 23:44:53
.@cta Kimball bound Brown line train experiencing frequent stopping and is delayed without explanation. Currently b… https://t.co/F0R91YjrB8,aspaulding777,"Chicago, IL",2019-10-22 23:09:48
"RT @robertloerzel: … Also, I didn’t realize @cta’s expansion plans were so ambitious. https://t.co/5V0S5YdQq7",chris_steller,"Minneapolis, Minnesota, USA",2019-10-22 23:03:36
I’ve had enough with people’s loud personal calls on @cta,proudchismosa,"Chicago, IL",2019-10-22 22:49:56
@cta so redline trains are normally this behind this time of day?,odarellmc,Chicago,2019-10-22 22:45:26
"RT @theragelazer: @cta @Brisa_Irisss Or maybe, just maybe, you guys could actually do something to police your own system, since it's basic…",transit_tweets,,2019-10-22 22:38:42
Omg this @cta rush hour brown line train driver is consistently rude and it blows my mind that she’s lasted this long.,afilmfatale,Somewhere,2019-10-22 22:26:41
"Heading home (at @CTA Bus Stop 1124 in Chicago, IL) https://t.co/QkntMs1rxH",lostboy2,chicago il,2019-10-22 22:23:24
this @cta train conductor went off telling everyone to be careful of the winds and be safe and to have a great even… https://t.co/n4Of8tUwVG,BeccaRebecca21,"Chicago, IL",2019-10-22 22:20:19
"@cta Where can I file a complaint about one of your busses? Just watched them get in the left turn lane, then pull… https://t.co/LakOmyBRrq",C1oudGate112,"Chicago, IL",2019-10-22 22:12:59
OMG WHY IS THE A/C ON?¿ @cta,_ChugAMildo,"Chicago, IL",2019-10-22 22:10:56
"RT @cta: [Minor Delays / Reroute] Northbound 9 Ashland buses are temporarily rerouted via Irving Park, Clark, Grace, Southport, and Irving…",transit_tweets,,2019-10-22 21:58:12
I love going down the @cta blue line stairs and my knees snap crackle pop all the way down 😒,OhshitVero,,2019-10-22 21:55:54
"RT @cta: [Minor Delays / Reroute] Northbound 9 Ashland buses are temporarily rerouted via Irving Park, Clark, Grace, Southport, and Irving…",huskeeman82,"Chicago, IL",2019-10-22 21:54:03
"Four seats, evening rush hour @cta https://t.co/Wz9KDGhBmE",whitesox261,Chicago,2019-10-22 21:36:37
Thank you to the lady who told me I dropped my Ventra card on a @cta bus #KindnessMatters,chiliz85,"Elmwood Park, IL",2019-10-22 21:36:14
@cta Man I will I'll take another 45 minutes until the train comes,kamenrider71,"Chicago, IL",2019-10-22 21:28:34
RT @cta: [Minor Delays] O'Hare-bound Blue Line trains are running w/residual delays following an earlier mechanical problem at Grand. Servi…,kamenrider71,"Chicago, IL",2019-10-22 21:28:13
"Look who we saw riding the @cta  -Our #ChiSmallBizExpo keynote speaker, #Rhymefest! Come out to the FREE small busi… https://t.co/2Qtzl25dhN",ChiSmallBiz,Chicago,2019-10-22 21:27:32
"@theboatshoes @cta Yes, O'Hare-bound trains are NOW STOPPING @ Division. It's the other side now NOT STOPPING (trai… https://t.co/Sfnotgg0tt",WGNtraffic,"Chicago, IL",2019-10-22 21:16:47
@WGNtraffic @cta I thought O’Hare bound trains were resuming @ Division. Please advise,theboatshoes,"Chicago, IL",2019-10-22 21:15:39
@cta hi. I've noticed that over the last few weeks brown line service for the afternoon rush has had 10-11 minute g… https://t.co/Fmusy7wXy1,ps536263,,2019-10-22 21:13:00
@cta May want to let people know y’all got major delays on the red line FYI,eldabt,,2019-10-22 21:12:15
@cta rumor has it that you are allowing @CTULocal1 members and @SEIU  members to catch the bus in a train during th… https://t.co/TokHUfyglE,TeeJone88913480,Where over the Rainbow,2019-10-22 21:09:25
@cta are you supporting @CTULocal1  and @SEIU,TeeJone88913480,Where over the Rainbow,2019-10-22 21:03:59
Remember when @cta used to be clean &amp; reliable? Wasn't that long ago. @CTAFails #ctafails #ctasucks,ashlandt,"Chicago, IL",2019-10-22 20:26:49
"Northbound Red Line L Train at the Old Wilson Avenue Station, Chicago, Illinois (2015-03-10 13-36-00a) @ClickASnap_… https://t.co/C8jxM51jZH",gjsibio,,2019-10-22 20:19:00
@vebeans @TheRealFunyuns @cta No juice. The older sibling had them and the older brother had hot Cheetos.,englewoodelaine,"Chicago, IL",2019-10-22 20:07:46
@stinkyandrotten @cta Cut off the #crust,crazy3hair,,2019-10-22 20:07:37
"@trafficjamjen @cta @nbcchicago Always Great Reporting Jen, just doing a Great Job!!!!!",sunbelt87,"Chicago, IL",2019-10-22 19:39:11
Ride shares are meant to be special occasion trips for when you can’t realistically take @cta this plan makes sense… https://t.co/NfBDf1Z5sw,sheath2,"Chicago, IL",2019-10-22 19:37:38
"@englewoodelaine @TheRealFunyuns @cta oh man. watered down with a juice, i'm sure.",vebeans,"Chicago, IL",2019-10-22 19:35:38
@KenTrayUESF @cta @CFTunion @UESF @WeAreCTA @sflabor Thank you @KenTrayUESF 🙌🏼,GrossmontEA,,2019-10-22 19:34:21
"RT @the_juandy_city: Hey Chicago, let's not forget that the @cta increased fare by 25 cents a couple years ago! 😂😂😂 https://t.co/i5BZDDEg0J",BlackMambaa2,,2019-10-22 19:31:00
RT @JohnJhl9: Love seeing Chicago references @chicagobotanic Night of 1000 Jack O' Lanterns @cta https://t.co/TTvabnk7CM,Sotb1Sotb,"Chicago, IL",2019-10-22 19:19:11
Love seeing Chicago references @chicagobotanic Night of 1000 Jack O' Lanterns @cta https://t.co/TTvabnk7CM,JohnJhl9,Chicago,2019-10-22 19:18:34
"This really tickled my turnips. Any @cta #FOIA updates today, @swasko? https://t.co/ROJRC7BHr9",DanerMoran,"Logan Square, Chicago",2019-10-22 19:18:09
how you make a sandwitch this small? @cta https://t.co/9gl1NTnK0U,stinkyandrotten,,2019-10-22 19:17:52
RT @Diesel1906: @cta Milwaukee between elston and Chicago Ave.  This morning right before i posted.  These were the Blue Line Shuttles.,transit_tweets,,2019-10-22 19:10:39
Don’t let Mars eat @TheRealFunyuns #musingsfrom29 @cta No. 29 @vebeans 🤷🏿‍♀️🧐,englewoodelaine,"Chicago, IL",2019-10-22 19:09:42
RT @Brisa_Irisss: @cta this is EXACTLY what I want on my morning commute. Someone smoking inside the train 😒 #blueline https://t.co/gBoUvEL…,Barrera23G,,2019-10-22 19:07:26
"Hey Chicago, let's not forget that the @cta increased fare by 25 cents a couple years ago! 😂😂😂 https://t.co/i5BZDDEg0J",the_juandy_city,"Chicago, IL",2019-10-22 18:28:34
"RT @ContractorA_Inc: #Contractors do you need more capital to fulfill your contracts? The insight from ZANN Inc, @LISCChicago &amp; the @CTA du…",LISCChicago,Chicago. IL,2019-10-22 18:21:24
"#Contractors do you need more capital to fulfill your contracts? The insight from ZANN Inc, @LISCChicago &amp; the @CTA… https://t.co/zFQVmwIoHN",ContractorA_Inc,"Chicago, Illinois",2019-10-22 18:13:36
Joint venture of Walsh .@thebiggreenw and .@FluorCorp get go-ahead from .@cta for $2.1 billion project.… https://t.co/zVynnMwpPB,ConstructechMag,"Carol Stream, IL",2019-10-22 17:40:09
